,File,Specie ID,Fdom,FminVoc,FmaxVoc,FCC1,FCC2,FCC3,FCC4,FCC5,FCC6,FCC7,FCC8,FCC9,FCC10,FCC11,FCC12,FCC13,FCC14,FCC15,FCC16,FCC17,FCC18,FCC19,FCC20,FCC21,FCC22,FCC23,SpectralCentroid,Bandwidth,SpectralFlatness,Length,DeltaFreq
3,JAGUAS253_20121114_080107.wav,Coereba flaveola,7405.88829077744,5835.498046875,10034.47265625,1.7231,-0.72195,0.42838,0.78507,1.6843,-0.95018,0.28874,0.79912,1.6902,-0.83071,0.30678,0.53583,1.5869,-0.77551,0.27485,-0.049686,-0.04543,-0.017855,-0.051179,-0.18174,-0.032282,0.14172,0.053853,7659.605368478648,975.1616173251023,0.4455689787864685,1.369977324263039,4198.974609375
11,JAGUAS253_20121114_080107.wav,Hyloxalus,0.0,4155.908203125,4435.83984375,0.52636,1.002,-0.73523,-32.1,1.0648,1.1039,-0.25546,-31.808,1.245,0.32813,0.53982,-31.834,-0.59285,-0.13313,-0.040867,0.04133,-0.37307,-0.37838,0.23145,0.057619,-1.1881,-0.2816,-0.53023,4316.478531041716,71.66555401630646,0.6496953368186951,0.1857596371882084,279.931640625
18,JAGUAS253_20121114_080107.wav,Leptopogon superciliaris,3423.338128810975,2971.58203125,5404.833984375,1.6516,0.12211,0.3975,-17.22,1.5714,0.27107,0.29213,-18.15,1.3282,-0.18156,-0.0037944,-18.038,1.3847,-0.038282,0.41612,-0.1067,-0.088966,-0.053464,0.0062066,-0.19265,0.068355,-0.0028435,0.26264,4355.793665466909,553.4611190435973,0.4340538680553436,0.5108390022675735,2433.251953125
19,JAGUAS253_20121114_080107.wav,Hyloxalus,4134.332983993902,4091.30859375,4457.373046875,-0.13133,0.39682,-0.38974,-28.387,0.64628,0.080224,-0.31314,-28.861,0.78241,0.13022,-0.17819,-28.627,-0.71144,-0.089917,0.038672,0.49366,-0.19337,-0.16225,0.1428,-0.74379,-1.1357,0.048232,0.070128,4318.602352088245,70.4493162305956,0.411316841840744,0.3250793650793646,366.064453125
20,JAGUAS253_20121114_080107.wav,Hyloxalus,4392.542349466464,4155.908203125,4586.572265625,0.19995,0.26745,0.30286,-31.022,0.22621,0.80482,0.80431,-30.605,-0.28116,-0.12009,1.0342,-30.226,0.693,-0.16608,-0.49093,0.31302,0.16435,-0.14451,-0.2646,0.11812,0.47395,-0.29168,-1.0133,4474.825502601334,56.9296190483201,0.2180296778678894,0.2438095238095244,430.6640625
22,JAGUAS253_20121114_080107.wav,Hyloxalus,4220.423780487805,4134.375,4629.638671875,0.38372,0.36402,-0.14776,-27.571,0.031353,-1.2172,-0.062776,-27.046,0.86651,-0.12123,-0.32206,-27.718,0.46943,0.31336,-0.048896,0.36645,0.02857,-0.016887,0.032954,-0.95885,-0.022357,1.0079,0.094092,4447.871259302447,110.9062617348652,0.3577386438846588,0.3947392290249443,495.263671875
23,JAGUAS253_20121114_080107.wav,Hyloxalus,4155.866187118902,4112.841796875,4672.705078125,0.51313,-0.2827,-0.092955,-27.616,1.1868,-0.6138,0.21582,-29.738,0.44772,-0.32442,-0.38838,-29.98,0.95357,-0.10629,-0.035813,-0.074083,0.14682,0.058802,0.019047,-1.1916,-0.083923,0.27461,0.021899,4528.951129165988,77.8413871858649,0.2040617913007736,0.2554195011337868,559.86328125
24,JAGUAS253_20121114_080107.wav,Hyloxalus,4435.524723704269,4112.841796875,4715.771484375,0.20798,-0.40643,-0.33536,-29.288,-0.40247,-0.43996,-0.082707,-28.499,0.6074,-0.24621,-0.17331,-30.244,0.39544,0.7295,0.71357,-0.042271,0.062486,0.37864,0.34964,-1.2867,0.19924,0.50462,0.31712,4546.002958055384,87.485782081669,0.2519037127494812,0.2438095238095244,602.9296875
25,JAGUAS253_20121114_080107.wav,Hyloxalus,4306.47256097561,4134.375,4715.771484375,0.82141,0.17232,0.49302,-29.098,0.27419,-0.4889,-0.12968,-28.747,0.28023,-0.30396,-0.038978,-29.928,0.5228,0.23231,-0.094367,-0.47266,-0.099539,0.02,-0.1958,-0.29692,0.3949,0.59874,0.28365,4550.641186089762,88.35965611767688,0.2411715388298035,0.2554195011337868,581.396484375
26,JAGUAS253_20121114_080107.wav,Hyloxalus,4414.054544588415,4155.908203125,4715.771484375,-0.56092,-0.31567,0.11896,-29.098,-0.55828,-0.59624,0.39148,-28.318,-0.27992,-0.12249,0.41238,-26.495,-0.72734,0.432,-0.47125,0.86332,-0.055472,0.24922,-0.19674,0.91751,-0.22503,0.41753,-0.57808,4539.929084832652,107.9485871488542,0.3559316992759705,0.2902494331065757,559.86328125
28,JAGUAS253_20121114_080107.wav,Hyloxalus,4543.211747332317,4242.041015625,4758.837890625,-1.7043,-0.0059775,0.0064418,-31.32,-1.6591,0.12949,0.34128,-27.787,-0.80561,1.0178,-0.74189,-30.713,-0.50318,0.077883,-0.55758,-0.59536,0.40037,0.027953,-0.18801,-0.266,0.12862,-0.53772,-0.075262,4576.60091876945,85.40478478033226,0.3428803384304047,0.2438095238095244,516.796875
30,JAGUAS253_20121114_080107.wav,Hyloxalus,4672.158870045731,4112.841796875,4737.3046875,0.69709,0.24649,0.093919,-28.288,-0.33028,-0.060389,0.65342,-27.858,0.92158,0.75316,0.17434,-28.747,0.40463,0.17952,-1.0612,0.040587,-0.097485,-0.022321,-0.38504,-0.73497,0.25521,-0.13338,-0.89752,4551.261410631474,94.453824372365,0.2459251433610916,0.2670294784580509,624.462890625
